#t / s	&b_A1 / rad	f_1
45.75	-0.01	0
45.8	-0.04	0
45.85	-0.09	0
45.9	-0.12	0
45.95	-0.15	0
46	-0.17	0
46.05	-0.2	0
46.1	-0.21	0
46.15	-0.22	0
46.2	-0.22	0
46.25	-0.21	0
46.3	-0.2	0
46.35	-0.17	0
46.4	-0.14	0
46.45	-0.12	0
46.5	-0.09	0
46.55	-0.05	0
46.6	-0.01	0
46.65	0.02	0
46.7	0.05	0
46.75	0.09	0
46.8	0.12	0
46.85	0.14	0
46.9	0.17	0
46.95	0.18	0
47	0.21	0
47.05	0.21	0
47.1	0.21	0
47.15	0.2	0
47.2	0.18	0
47.25	0.17	0
47.3	0.14	0
47.35	0.12	0
47.4	0.09	0
47.45	0.05	0
47.5	0.01	0
47.55	-0.01	0
47.6	-0.04	0
47.65	-0.09	0
47.7	-0.11	0
47.75	-0.13	0
47.8	-0.15	0
47.85	-0.17	0
47.9	-0.17	0
47.95	-0.18	0
48	-0.18	0
48.05	-0.17	0
48.1	-0.16	0
48.15	-0.14	0
48.2	-0.13	0
48.25	-0.1	0
48.3	-0.08	0
48.35	-0.04	0
48.4	0	0
48.45	0.02	0
48.51	0.05	0
48.55	0.09	0
48.6	0.11	0
48.65	0.13	0
48.7	0.15	0
48.75	0.17	0
48.8	0.17	0
48.85	0.17	0
48.9	0.17	0
48.95	0.17	0
49	0.16	0
49.05	0.14	0
49.1	0.12	0
49.15	0.09	0
49.2	0.08	0
49.25	0.04	0
49.3	0.01	0
49.35	-0.01	0
49.4	-0.04	0
49.45	-0.08	0
49.5	-0.1	0
49.55	-0.12	0
49.6	-0.13	0
49.65	-0.14	0
49.7	-0.15	0
49.75	-0.16	0
49.8	-0.16	0
49.85	-0.15	0
49.91	-0.13	0
49.95	-0.13	0
50	-0.1	0
50.05	-0.09	0
50.1	-0.05	0
50.15	-0.03	0
50.21	0	0
50.25	0.03	0
50.3	0.04	0
50.36	0.08	0
50.4	0.1	0
50.45	0.12	0
50.5	0.13	0
50.55	0.14	0
50.6	0.15	0
50.65	0.15	0
50.7	0.15	0
50.75	0.14	0
50.8	0.13	0
50.85	0.12	0
50.9	0.1	0
50.95	0.09	0
51	0.05	0
51.06	0.03	0
51.1	0	0
51.15	-0.02	0
51.2	-0.04	0
51.25	-0.07	0
51.3	-0.09	0
51.35	-0.1	0
51.4	-0.12	0
51.45	-0.13	0
51.51	-0.13	0
51.55	-0.13	0
51.6	-0.13	0
51.65	-0.13	0
51.7	-0.12	0
51.75	-0.1	0
51.8	-0.09	0
51.85	-0.05	0
51.9	-0.04	0
51.96	-0.01	0
52.01	0	0
52.05	0.03	0
52.1	0.04	0
52.15	0.08	0
52.2	0.09	0
52.25	0.1	0
52.3	0.12	0
52.35	0.13	0
52.4	0.13	0
52.45	0.13	0
52.5	0.13	0
52.55	0.12	0
52.6	0.11	0
52.65	0.09	0
52.7	0.09	0
52.75	0.05	0
52.81	0.04	0
52.85	0.02	0
52.9	0	0
52.96	-0.02	0
53	-0.04	0
53.05	-0.05	0
53.1	-0.08	0
53.15	-0.09	0
53.2	-0.1	0
53.25	-0.11	0
53.3	-0.11	0
53.35	-0.12	0
53.4	-0.11	0
53.45	-0.1	0
53.5	-0.09	0
53.55	-0.09	0
53.6	-0.07	0
53.65	-0.04	0
53.7	-0.03	0
53.75	-0.01	0
53.8	0	0
53.85	0.03	0
53.9	0.04	0
53.95	0.07	0
54	0.08	0
54.05	0.09	0
54.1	0.1	0
54.15	0.11	0
54.21	0.11	0
54.25	0.11	0
54.3	0.11	0
54.35	0.1	0
54.4	0.09	0
54.45	0.09	0
54.5	0.07	0
54.55	0.04	0
54.6	0.03	0
54.65	0.01	0
54.7	0	0
